q,month,day,date,carrier,origin,origin_city,orig_st_abr,orig_st_name,destination,dest_city,dest_st_abr,dest_st_name,cancelled,miles,fl_count
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,ABQ,"Albuquerque, NM",NM,New Mexico,0,1670,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,ALB,"Albany, NY",NY,New York,0,289,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,ALB,"Albany, NY",NY,New York,0,289,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,ALB,"Albany, NY",NY,New York,0,289,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,ALB,"Albany, NY",NY,New York,0,289,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,ATL,"Atlanta, GA",GA,Georgia,0,577,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,ATL,"Atlanta, GA",GA,Georgia,0,577,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,ATL,"Atlanta, GA",GA,Georgia,0,577,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,ATL,"Atlanta, GA",GA,Georgia,0,577,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,ATL,"Atlanta, GA",GA,Georgia,0,577,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,AUS,"Austin, TX",TX,Texas,0,1342,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,AUS,"Austin, TX",TX,Texas,0,1342,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,AUS,"Austin, TX",TX,Texas,0,1342,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,BDL,"Hartford, CT",CT,Connecticut,0,283,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,BDL,"Hartford, CT",CT,Connecticut,0,283,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,BDL,"Hartford, CT",CT,Connecticut,0,283,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,BDL,"Hartford, CT",CT,Connecticut,0,283,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,BDL,"Hartford, CT",CT,Connecticut,0,283,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,BHM,"Birmingham, AL",AL,Alabama,0,682,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,BNA,"Nashville, TN",TN,Tennessee,0,587,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,BNA,"Nashville, TN",TN,Tennessee,0,587,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,BNA,"Nashville, TN",TN,Tennessee,0,587,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,BNA,"Nashville, TN",TN,Tennessee,0,587,1
1,1,5,1/31/2020,WN,BWI,"Baltimore, MD",MD,Maryland,BNA,"Nashville, TN",TN,Tennessee,0,587,1
